raceId,driverId,grid,finish,statusId,dnf,num_stops,first_stop_lap,avg_stop_time,total_stop_time,year,position_improved,position_change
852,30,24,5,1,0,3.0,4.0,20.566,61.69799999999999,2011,1,19
852,3,5,6,1,0,2.0,11.0,22.130499999999998,44.260999999999996,2011,0,-1
852,16,15,7,1,0,2.0,13.0,21.878,43.756,2011,1,8
852,13,4,8,1,0,3.0,9.0,21.869333333333334,65.608,2011,0,-4
852,808,10,9,1,0,2.0,12.0,21.686999999999998,43.373999999999995,2011,1,1
852,813,21,10,1,0,2.0,12.0,21.862000000000002,43.724000000000004,2011,1,11
852,814,17,11,1,0,2.0,14.0,21.342,42.684,2011,1,6
852,155,12,12,1,0,2.0,14.0,22.715,45.43,2011,0,0
852,811,7,13,1,0,3.0,1.0,21.83966666666667,65.519,2011,0,-6
852,15,18,14,11,1,2.0,13.0,21.8215,43.643,2011,1,4
852,5,16,15,11,1,3.0,1.0,24.284666666666666,72.854,2011,1,1
852,22,14,16,11,1,3.0,13.0,30.349666666666668,91.049,2011,0,-2
852,816,20,17,11,1,2.0,13.0,22.5265,45.053,2011,1,3
852,10,19,18,11,1,4.0,1.0,23.73275,94.931,2011,1,1
852,24,22,19,11,1,2.0,11.0,26.362499999999997,52.724999999999994,2011,1,3
852,815,9,20,22,1,3.0,5.0,21.354666666666663,64.064,2011,0,-11
852,817,23,21,5,1,1.0,13.0,23.78,23.78,2011,1,2
852,1,2,22,4,1,1.0,10.0,21.895,21.895,2011,0,-20
853,20,1,1,1,0,2.0,20.0,21.750999999999998,43.501999999999995,2011,0,0
853,18,3,2,1,0,2.0,17.0,21.877499999999998,43.754999999999995,2011,1,1
853,4,4,3,1,0,2.0,19.0,22.264000000000003,44.528000000000006,2011,1,1
853,1,2,4,1,0,2.0,18.0,21.9795,43.959,2011,0,-2
853,30,8,5,1,0,2.0,16.0,22.3615,44.723,2011,1,3
853,13,6,6,1,0,2.0,21.0,21.9845,43.969,2011,0,0
853,153,18,7,11,1,2.0,20.0,22.133499999999998,44.266999999999996,2011,1,11
853,814,11,8,11,1,2.0,13.0,22.4695,44.939,2011,1,3
853,811,10,9,11,1,3.0,2.0,22.650666666666666,67.952,2011,1,1
853,67,16,10,11,1,2.0,16.0,24.16,48.32,2011,1,6
853,813,14,11,11,1,2.0,19.0,22.8385,45.677,2011,1,3
853,22,13,12,11,1,2.0,1.0,26.2855,52.571,2011,1,1
853,5,20,13,12,1,2.0,21.0,22.9545,45.909,2011,1,7
853,15,19,14,12,1,2.0,5.0,26.9055,53.811,2011,1,5
853,10,21,15,12,1,2.0,20.0,23.9655,47.931,2011,1,6
853,817,23,16,111,1,1.0,20.0,30.777,30.777,2011,1,7
853,155,17,18,6,1,2.0,1.0,25.244500000000002,50.489000000000004,2011,0,-1
854,20,1,1,1,0,3.0,14.0,30.542666666666666,91.628,2011,0,0
854,18,3,2,1,0,3.0,14.0,30.131666666666664,90.395,2011,1,1
854,17,2,3,1,0,3.0,12.0,30.693,92.07900000000001,2011,0,-1
854,4,5,4,1,0,3.0,10.0,30.326666666666668,90.98,2011,1,1
854,1,4,5,1,0,5.0,11.0,29.7044,148.522,2011,0,-1
854,814,10,6,1,0,2.0,19.0,30.234,60.468,2011,1,4
854,3,7,7,11,1,3.0,9.0,29.742333333333335,89.227,2011,0,0
854,16,9,8,11,1,2.0,11.0,32.068,64.136,2011,1,1
854,13,6,9,11,1,4.0,11.0,31.0255,124.102,2011,0,-3
854,815,11,10,11,1,2.0,15.0,32.077,64.154,2011,1,1
854,813,13,11,11,1,3.0,11.0,30.517333333333337,91.552,2011,1,2
854,67,14,12,11,1,3.0,11.0,32.32,96.96,2011,1,2
854,22,12,13,11,1,2.0,12.0,30.5,61.0,2011,0,-1
854,155,17,14,12,1,4.0,16.0,29.4125,117.65,2011,1,3
854,811,15,15,12,1,4.0,10.0,33.51825,134.073,2011,0,0
854,5,19,16,12,1,3.0,11.0,31.676666666666666,95.03,2011,1,3
854,808,18,17,12,1,3.0,16.0,30.639,91.917,2011,1,1
854,816,22,18,12,1,2.0,16.0,31.677500000000002,63.355000000000004,2011,1,4
854,817,23,19,14,1,3.0,1.0,37.336666666666666,112.00999999999999,2011,1,4
854,24,24,20,14,1,4.0,13.0,35.2645,141.058,2011,1,4
854,153,16,21,3,1,3.0,17.0,29.027666666666665,87.083,2011,0,-5
854,15,20,22,6,1,3.0,16.0,31.844333333333335,95.533,2011,0,-2
854,30,8,23,3,1,2.0,10.0,29.5415,59.083,2011,0,-15
855,18,2,1,1,0,3.0,10.0,20.935000000000002,62.80500000000001,2011,1,1
855,4,5,2,1,0,3.0,10.0,21.06566666666667,63.197,2011,1,3
855,20,1,3,1,0,3.0,9.0,21.891666666666666,65.675,2011,0,-2
855,17,6,4,1,0,3.0,10.0,21.548000000000002,64.644,2011,1,2
855,1,3,5,1,0,3.0,8.0,21.73466666666667,65.20400000000001,2011,0,-2
855,30,8,6,1,0,3.0,9.0,21.372,64.116,2011,1,2
855,13,4,7,1,0,3.0,11.0,21.209,63.626999999999995,2011,0,-3
855,815,17,8,1,0,2.0,20.0,23.058,46.116,2011,1,9
855,808,10,9,1,0,2.0,18.0,21.067999999999998,42.135999999999996,2011,1,1
855,3,23,10,1,0,3.0,12.0,20.683,62.049,2011,1,13
855,16,11,11,1,0,3.0,8.0,21.56233333333333,64.687,2011,0,0
855,814,12,12,1,0,3.0,10.0,21.826999999999998,65.481,2011,0,0
855,155,7,13,1,0,2.0,10.0,23.281,46.562,2011,0,-6
855,813,14,14,1,0,3.0,16.0,21.142,63.426,2011,0,0
855,153,16,15,1,0,2.0,17.0,22.188000000000002,44.376000000000005,2011,1,1
855,811,9,16,1,0,2.0,15.0,24.1965,48.393,2011,0,-7
855,22,13,17,1,0,3.0,12.0,22.252,66.756,2011,0,-4
855,5,18,18,1,0,3.0,10.0,21.820999999999998,65.463,2011,0,0
855,15,19,19,1,0,3.0,11.0,22.008333333333336,66.025,2011,0,0
